0	0	0	0	0	0
-10224	-7384	2616	-3501	-2704	1664
-9696	-7876	7692	-6296	1770	1597
-10476	-8168	7236	-3835	6994	195
-13668	-9308	7560	-180	3675	260
-12892	-8424	10456	3389	5481	-138
-12108	-6996	10576	5733	5685	-652
-24944	112	10212	120	-2367	-1409
-8088	-6912	7040	6762	-4116	-915
-12364	-3832	8192	6279	1113	-1483
-14352	-3592	7732	2837	-856	925
-12020	-4084	6152	-19	-27	2131
-12900	-4324	6348	-1147	713	3115
-13260	-3088	7124	-2469	204	4390
-12872	-928	7284	-4394	-274	5601
-13280	-684	6556	-6945	-269	6422
-13592	-1388	6188	-8213	58	8060
-14552	-2328	7520	-7533	891	8938
-15340	-520	6568	-10539	397	10261
-15048	-1972	6040	-13554	183	10859
-15780	-1960	6848	-13244	82	10833
-15912	-2600	6844	-12667	-1005	11272
-15876	-1880	6924	-10317	-605	11616
-17456	-68	7792	-8527	-780	12299
-17156	-416	6020	-11276	-2446	13606
-16588	-3136	7060	-10623	-1294	14065
-17452	-2228	7952	-6337	-1030	14169
-17012	-1140	7160	-5903	-2348	13972
-16300	-1320	7672	-5353	-2014	13816
-16744	-1012	7276	-5077	-2296	13025
-15996	-2012	7508	-3468	-2115	12875
-16356	1540	6980	-4487	-2609	12424
-16116	76	6700	-8421	-3353	11777
-14836	-684	7536	-7200	-3868	10770
-15384	1284	7408	-9827	-2715	9822
-15224	-492	8108	-10501	-4320	9447
-13316	1368	8104	-10380	-4167	8349
-14748	372	9632	-9883	-3925	6829
-13068	192	10028	-8411	-5297	6546
-11916	1144	8728	-8248	-4504	5588
-12348	-948	9872	-7136	-5133	4498
-11264	-340	9592	-4708	-5284	3191
-11796	1456	9720	-4352	-4425	2562
-11456	528	10856	-3258	-5079	2133
-10240	616	9860	-1294	-4657	1602
-10564	724	10600	-146	-3075	654
-10900	1904	10012	860	-3516	139
-10116	2132	10324	-687	-3162	-487
-10448	1360	11920	1781	-3227	-1518
-9844	5480	7736	-480	-2883	-1853
-10136	1060	13548	-406	-3805	-2196
-10512	1404	13688	4275	-3370	-2818
-9664	3324	12092	3008	-5181	-2424
-9960	7004	3364	-2329	-2640	-1348
-10680	140	16492	-1204	-6681	-2541
-6316	4424	8236	1768	-4202	-1194
-8748	3708	10072	-11	-2157	-1856
-10108	2164	10932	198	-3072	-1831
-7728	2804	8172	971	-2092	-1927
-8748	2516	10360	2053	-861	-2796
-7756	3780	7356	1430	-631	-2444
-8996	2700	10632	1769	1284	-2696
-9728	2984	10936	3061	816	-2870
-7724	2900	10312	2539	1517	-2998
-8956	2904	11136	3104	2731	-2999
-9468	4104	12064	3315	2232	-3277
-8008	3652	10316	3205	1833	-3098
-9136	3312	11452	2567	2887	-2922
-9800	2972	10644	2164	2699	-2830
-9744	4216	10472	807	2906	-3298
-10060	3816	11440	582	2715	-3311
-10028	2896	9452	-294	3299	-2873
-11444	2940	10064	479	3998	-3089
-11008	3716	10852	828	3545	-3290
-10504	3272	10288	1286	4292	-2717
-11400	2472	10912	1407	4534	-2974
-10956	2776	8132	1639	4503	-3031
-12020	3028	9948	1312	5290	-3292
-12608	2892	10208	1808	5085	-2966
-12472	1800	8396	2673	5239	-2863
-12488	2712	8496	1525	5726	-3127
-13292	1676	9696	2165	4979	-3088
-13616	1192	6196	4229	5431	-3113
-14196	2984	7672	1756	6363	-3474
-14476	1976	9644	1413	6012	-3479
-13772	1728	7664	3364	6616	-3629
-14500	2476	8856	3035	7144	-3735
-14688	1752	8620	3898	6272	-3391
-14152	2420	8116	2864	6429	-3408
-15348	1152	10108	5005	5461	-3700
-16340	540	9208	9792	5015	-3793
-15812	3996	7404	8563	3753	-3937
-15292	2652	9092	6125	2416	-4010
-15540	-1208	10632	10656	2025	-4524
-14788	6700	4476	9098	2158	-4170
-13452	6420	6144	-1418	2350	-3421
-14500	1468	9344	-2951	1904	-2726
-14592	400	7964	1066	1797	-2305
-14568	1912	7044	3707	1542	-2180
-15772	1992	6612	2573	1042	-1863
-14716	3480	5604	-1871	-13	-949
-14924	-444	6636	-1454	-717	-1563
-15096	-1196	7252	3162	-1064	-2294
-14924	2512	5748	5932	-1532	-2451
-14376	2768	4272	1278	-1398	-2000
-15156	-400	5616	1307	-893	-2037
-15756	-736	5572	2900	-813	-1980
-14812	1288	4564	3594	-790	-1418
-15036	152	4432	2104	-132	-1384
-16408	-1192	4704	2121	265	-1237
-16812	628	4412	2531	-496	-922
-16004	456	3664	-443	-735	-660
-16216	-1836	4460	-105	-452	-555
-16720	-28	4688	1934	-965	-1018
-15512	752	3852	521	-1468	-503
-14540	-268	3912	-1152	-977	-121
-15180	-460	4908	-429	-484	243
-15772	364	4188	-1099	-1014	910
-15180	-156	4092	-2945	-1090	1810
-15056	-616	5080	-2530	-747	2274
-15248	456	4760	-2982	-1052	2700
-15284	-160	4828	-4328	-897	3294
-15320	-468	4868	-4389	-755	3404
-16040	-104	5260	-3687	-341	3445
-15956	340	4884	-4453	-931	3546
-14908	72	4760	-4972	-885	3417
-14076	492	5312	-4398	-610	3065
-13872	172	5408	-3892	-39	2775
-13476	640	5200	-3435	226	2557
-13800	492	5552	-3250	1398	2271
-15340	1604	6892	-2386	1888	2686
-15252	1680	6940	-2532	1586	3037
-14216	1608	7220	-1986	2028	2746
-14692	2236	8220	-382	2210	1837
-13876	2512	8140	1161	834	1048
-12856	3052	7964	1808	641	96
-13464	2920	7904	1466	573	-679
-13812	2484	8256	1884	-170	-599
-13360	2892	8140	2174	-772	-380
-13028	3252	7736	1767	-858	-59
-12852	2920	7776	1884	-639	311
-13336	4196	8064	1717	-1026	930
-12980	4068	7304	-104	-1347	1518
-13132	2984	7528	-598	-789	1916
-13468	2828	7632	214	-492	2189
-14032	3140	7108	226	-381	2548
-13868	2820	7064	-119	-645	2399
-13688	2944	7064	321	-551	1915
-13644	3064	6860	425	-746	1544
-13432	2744	6852	550	-849	1172
-13188	3012	6780	1118	-893	673
-13028	3488	6412	962	-876	303
-12700	3004	6444	180	-908	-22
-12468	2584	6384	439	-520	-482
-12796	3356	6280	737	-284	-895
-12692	3292	6424	189	-163	-1196
-12568	2780	6496	275	-71	-1449
-12284	2844	6072	170	265	-1740
-13104	2692	6172	416	764	-1979
-13340	3096	6388	258	407	-2155
-12928	2940	6516	18	702	-2406
-13412	2444	6392	514	937	-2920
-13584	2728	6280	1151	970	-3151
-14048	2784	6524	1542	1106	-3300
-14028	2440	6608	2058	881	-3301
-14796	2476	6672	2875	1245	-3201
-16048	2540	6960	3880	1703	-3160
-16472	2576	7036	4705	574	-3259
-15356	3100	6604	5356	-121	-3571
-15896	3576	6336	4971	226	-3551
-16024	2908	6220	4701	-558	-3160
-15076	2152	5696	5322	-922	-2830
-14972	2920	5536	5620	-1021	-2847
-14616	2844	5268	4277	-1336	-2683
-14600	1644	5096	3140	-824	-2541
-15232	2260	5076	3860	-864	-2159
-14828	2880	4712	1738	-1399	-1652
-14088	1452	4568	-915	-977	-1299
-13648	892	4972	-553	-617	-1482
-14088	2076	4564	-1024	-265	-1069
-13948	1404	4728	-3396	-156	-547
-13952	304	4644	-4083	509	-319
-14456	368	4688	-4042	1139	-254
-14768	812	5024	-5003	1331	18
-14900	72	5384	-5490	1761	184
-15008	196	5192	-5422	1735	322
-14756	-220	5136	-4751	1843	214
-14868	-172	5332	-4017	2087	149
-15184	-368	5576	-3044	1811	142
-14668	-396	5416	-2114	1646	158
-14788	-472	5408	-1196	1731	80
-15160	-232	5416	-463	1650	76
-15144	-156	5536	225	1499	201
-15200	-200	5516	905	1433	221
-15212	-28	5544	1356	1476	208
-15336	264	5348	1653	1235	161
-15276	424	5128	1531	930	185
-15220	228	5120	1242	604	80
-15120	404	5236	1216	334	-36
-15084	800	5052	683	22	-125
-15064	612	4700	-97	-106	-207
-15160	572	4716	-559	-252	-296
-14840	552	4744	-879	-320	-312
-14772	472	4564	-1193	-233	-229
-14704	580	4608	-1606	-193	-98
-14664	108	4724	-1765	39	-28
-14940	-20	4764	-1139	306	-50
-15132	180	4904	-718	196	-121
-15244	136	4984	-489	121	-250
-15040	612	4716	-391	47	-394
-14988	408	4860	-254	16	-457
-14980	256	4864	144	-38	-465
-15048	572	4980	316	-110	-472
-15028	728	4664	47	-198	-456
-14928	724	4620	-293	-211	-385
-14628	696	4692	-549	-229	-305
-14760	596	4744	-600	-86	-178
-14852	572	4636	-685	14	-7
-15148	504	4932	-656	108	96
-15008	716	5188	-591	31	151
-14988	612	4820	-555	126	106
-14860	700	5008	-498	61	139
-14864	500	5072	-513	87	249
-14936	668	4916	-414	89	333
-14736	568	4924	-390	63	387
-14832	580	5084	-297	173	417
-14936	696	5152	-475	29	460
-14780	644	4852	-615	49	403
-14740	412	5156	-554	-8	279
-14692	528	4976	-594	-38	217
-14740	508	4968	-712	-63	228
-14820	380	4996	-567	-55	237
-14832	304	5052	-444	-39	172
-14908	560	4936	-285	-80	56
-14800	552	4924	-290	-56	-91
-14868	500	5120	-224	-61	-165
-14744	688	4964	-201	-140	-233
-14812	500	4948	-194	-10	-316
-14748	816	5140	-101	-40	-369
-14756	668	4932	-308	-44	-326
-14672	696	5040	-224	-126	-357
-14420	636	5004	-379	-12	-362
-14760	644	5252	-526	18	-235
-14800	640	4988	-811	-130	-125
